id,event,environment_publicbenefit_f_slp,start,stop
KY,0,0.2616463383256194,20.0,21.0
KY,0,0.4376919826776081,21.0,22.0
KY,0,0.4613401806156789,22.0,23.0
KY,0,0.4919227828366148,23.0,30.0
KY,0,0.5091492168720674,30.0,31.0
KY,0,0.5145340623900426,31.0,32.0
KY,0,0.5173022783646035,32.0,40.0
KY,0,0.5453722473839497,40.0,41.0
LA,0,0.0,0.0,18.0
LA,0,0.0033883156016112,18.0,19.0
LA,0,0.1195279049075217,19.0,20.0
LA,0,0.1195279049075217,20.0,21.0
LA,0,0.25138067087029,21.0,22.0
LA,0,0.3038021381065545,22.0,23.0
LA,0,0.3048064460077453,23.0,30.0
LA,0,0.3185978100272271,30.0,31.0
LA,0,0.3253183329240907,31.0,32.0
LA,0,0.3796582357955058,32.0,40.0
LA,0,0.4081475858016362,40.0,41.0
MA,1,0.0,0.0,18.0
MD,0,0.0,0.0,18.0
MD,0,0.0603105870347804,18.0,19.0
MD,0,0.2159489379806887,19.0,20.0
MD,0,0.2159489379806887,20.0,21.0
MD,0,0.3794188552710998,21.0,22.0
MD,0,0.4613782559736978,22.0,23.0
MD,1,0.4781170837954718,23.0,29.0
ME,1,0.0,0.0,18.0
MI,0,0.0,0.0,18.0
MI,0,0.0535930468435523,18.0,19.0
MI,0,0.1608797692433187,19.0,20.0
MI,1,0.1608797692433187,20.0,21.0
MN,0,0.0,0.0,18.0
MN,0,0.0326602770881554,18.0,19.0
MN,1,0.1430496670925544,19.0,20.0
MO,0,0.0,0.0,18.0
MO,0,0.0489531031615539,18.0,19.0
MO,0,0.1750207716254159,19.0,20.0
MO,0,0.1750207716254159,20.0,21.0
MO,0,0.4280106289553788,21.0,22.0
MO,0,0.458372575073781,22.0,23.0
MO,0,0.4595423373211585,23.0,30.0
MO,0,0.5075805483416158,30.0,31.0
MO,0,0.5461893839878801,31.0,32.0
MO,0,0.5870409142694162,32.0,40.0
MO,0,0.6165030998539829,40.0,41.0
MS,0,0.0,0.0,18.0
MS,0,0.0849062924835072,18.0,19.0
MS,0,0.1247389062160264,19.0,20.0
MS,0,0.1247389062160264,20.0,21.0
MS,0,0.4014765528814721,21.0,22.0
MS,0,0.4199375541152267,22.0,23.0
MS,0,0.4393921053395697,23.0,30.0
MS,0,0.4437324568725121,30.0,31.0
MS,0,0.4506433096166105,31.0,32.0
MS,0,0.4801362264482244,32.0,40.0
MS,0,0.4878017596453748,40.0,41.0
MT,1,0.0,0.0,18.0
NC,0,0.0,0.0,18.0
NC,0,0.0516153429617931,18.0,19.0
NC,0,0.1769523688720741,19.0,20.0
NC,0,0.1769523688720741,20.0,21.0
NC,0,0.3627122386736356,21.0,22.0
NC,0,0.3750668585692013,22.0,23.0
NC,0,0.4857522045915274,23.0,30.0
NC,0,0.5055496424865795,30.0,31.0
NC,0,0.538052244742688,31.0,32.0
NC,0,0.5666330826103122,32.0,40.0
NC,0,0.5789747392347842,40.0,41.0
ND,0,0.0,0.0,18.0
ND,0,0.1154438251366101,18.0,19.0
ND,0,0.1600583474915033,19.0,20.0
ND,0,0.1600583474915033,20.0,21.0
ND,0,0.3444742381848099,21.0,22.0
ND,0,0.383421925618468,22.0,23.0
