id,event,w4_electric_decoupling_21_slp,start,stop
GA,1,0.4673910529411826,30.0,31.0
HI,0,0.0,0.0,12.0
HI,0,0.0491024153442811,12.0,13.0
HI,0,0.0533079151462039,13.0,14.0
HI,0,0.0533079151462039,14.0,20.0
HI,0,0.0589939390594914,20.0,21.0
HI,0,0.0686511670568299,21.0,22.0
HI,0,0.1161722663058521,22.0,23.0
HI,0,0.1479969858343996,23.0,29.0
HI,1,0.2743873960252359,29.0,30.0
IA,0,0.0,0.0,12.0
IA,0,0.0428549075035201,12.0,13.0
IA,0,0.0604596187108174,13.0,14.0
IA,0,0.0604596187108174,14.0,20.0
IA,0,0.0669560857876423,20.0,21.0
IA,0,0.095649060163728,21.0,22.0
IA,0,0.124334604090473,22.0,23.0
IA,0,0.1479626977687813,23.0,29.0
IA,0,0.3264549626670389,29.0,30.0
IA,0,0.4342741239381893,30.0,31.0
IA,0,0.543066683612704,31.0,32.0
IA,0,0.5800111656198316,32.0,33.0
IA,0,0.6393259425836576,33.0,37.0
IA,0,0.6860398947030002,37.0,38.0
IA,0,0.7627157394573723,38.0,39.0
IA,0,0.7627157394573723,39.0,40.0
IA,0,0.7766835196571442,40.0,41.0
ID,0,0.0,0.0,12.0
ID,0,0.020278806777089,12.0,13.0
ID,0,0.0229352021585641,13.0,14.0
ID,0,0.0229352021585641,14.0,20.0
ID,0,0.0296837787641472,20.0,21.0
ID,0,0.0580379483283723,21.0,22.0
ID,0,0.0774334355319927,22.0,23.0
ID,0,0.0774334355319927,23.0,27.0
ID,1,0.1158759357108921,27.0,28.0
IL,0,0.0,0.0,12.0
IL,0,0.0224321896302448,12.0,13.0
IL,0,0.0237269018434338,13.0,14.0
IL,0,0.0237269018434338,14.0,20.0
IL,0,0.052299798541104,20.0,21.0
IL,0,0.0523941443159557,21.0,22.0
IL,0,0.0667522444033912,22.0,23.0
IL,0,0.1316829432025544,23.0,29.0
IL,0,0.3352872346596905,29.0,30.0
IL,0,0.5225794737982608,30.0,31.0
IL,0,0.5736515598032694,31.0,32.0
IL,0,0.6221566491707022,32.0,33.0
IL,1,0.6655294108220893,33.0,37.0
IN,0,0.0,0.0,12.0
IN,0,0.0570499413873362,12.0,13.0
IN,0,0.0762704232353194,13.0,14.0
IN,0,0.0762704232353194,14.0,20.0
IN,0,0.1651071920996697,20.0,21.0
IN,0,0.1968962780539022,21.0,22.0
IN,0,0.2196135556606,22.0,23.0
IN,0,0.2258823143990967,23.0,29.0
IN,1,0.2924281064017359,29.0,30.0
KS,0,0.0,0.0,12.0
KS,0,0.0317880658026575,12.0,13.0
KS,0,0.0742686561410415,13.0,14.0
KS,0,0.0742686561410415,14.0,20.0
KS,0,0.0940436195467697,20.0,21.0
KS,0,0.0957253733699015,21.0,22.0
KS,0,0.1142002553268884,22.0,23.0
KS,0,0.1142002553268884,23.0,27.0
KS,1,0.1408745248834498,27.0,28.0
KY,0,0.0,0.0,12.0
KY,0,0.1115564148981776,12.0,13.0
KY,0,0.1357281724417781,13.0,14.0
KY,0,0.1357281724417781,14.0,20.0
KY,0,0.1434641047762301,20.0,21.0
KY,0,0.1435311609549336,21.0,22.0
KY,0,0.1624264995455809,22.0,23.0
KY,0,0.1917589508104959,23.0,29.0
KY,0,0.3139677399593167,29.0,30.0
KY,1,0.514435336450861,30.0,31.0
LA,0,0.0,0.0,12.0
LA,0,0.0345389324380359,12.0,13.0
LA,0,0.0400243356886659,13.0,14.0
LA,0,0.0400243356886659,14.0,20.0
LA,0,0.0413142485854141,20.0,21.0
LA,0,0.0494424096302057,21.0,22.0
LA,0,0.1112106633116769,22.0,23.0
LA,0,0.123015448319087,23.0,29.0
LA,0,0.2107569245745829,29.0,30.0
LA,0,0.3861549837289068,30.0,31.0
