id,event,w4_environment_state_rps_21_slp,start,stop
LA,0,0.1847364840680323,26.0,27.0
LA,0,0.2653898307132836,27.0,28.0
LA,0,0.3050612543007432,28.0,29.0
LA,0,0.4012597002464812,29.0,30.0
LA,0,0.4528154802670099,30.0,31.0
LA,0,0.4725485358578573,31.0,32.0
LA,0,0.4947031179980551,32.0,41.0
MA,1,0.0231821098681947,0.0,18.0
MD,0,0.0371314706255289,0.0,18.0
MD,0,0.0401440735803994,18.0,19.0
MD,0,0.0974903350291898,19.0,20.0
MD,0,0.1145663328738254,20.0,21.0
MD,0,0.1780603952884502,21.0,22.0
MD,0,0.1780603952884502,22.0,24.0
MD,1,0.2197980306348,24.0,25.0
ME,0,0.0045576078433268,0.0,18.0
ME,0,0.0093054801165322,18.0,19.0
ME,1,0.024130514647855,19.0,20.0
MI,0,0.0266893258810214,0.0,18.0
MI,0,0.0398164182463142,18.0,19.0
MI,0,0.0776646518433849,19.0,20.0
MI,0,0.1178363380084342,20.0,21.0
MI,0,0.1507816244958802,21.0,22.0
MI,0,0.1819590941844151,22.0,26.0
MI,0,0.3640867247259213,26.0,27.0
MI,0,0.3918854583915466,27.0,28.0
MI,1,0.4106789334881531,28.0,29.0
MN,0,0.1117525071314841,0.0,18.0
MN,0,0.1265565351962419,18.0,19.0
MN,0,0.1333727696713526,19.0,20.0
MN,0,0.2315795590992329,20.0,21.0
MN,0,0.3275733710295211,21.0,22.0
MN,0,0.340335406718536,22.0,26.0
MN,0,0.4334677820910962,26.0,27.0
MN,1,0.4544351660532304,27.0,28.0
MO,0,0.0461796174805562,0.0,18.0
MO,0,0.0690734372419084,18.0,19.0
MO,0,0.1375821649431026,19.0,20.0
MO,0,0.1683425564538264,20.0,21.0
MO,0,0.2644639121877317,21.0,22.0
MO,0,0.2861391563608452,22.0,26.0
MO,0,0.4188724043882424,26.0,27.0
MO,0,0.518879272138524,27.0,28.0
MO,1,0.5209918419783874,28.0,29.0
MS,0,0.0620627797756793,0.0,18.0
MS,0,0.0765831278476678,18.0,19.0
MS,0,0.1097893804458332,19.0,20.0
MS,0,0.1772218355370172,20.0,21.0
MS,0,0.2147499440729647,21.0,22.0
MS,0,0.2752301679634076,22.0,26.0
MS,0,0.3374384054395898,26.0,27.0
MS,0,0.4357220896805441,27.0,28.0
MS,0,0.45875191836351,28.0,29.0
MS,0,0.5670547900059411,29.0,30.0
MS,0,0.5846537035874786,30.0,31.0
MS,0,0.6086421982173099,31.0,32.0
MS,0,0.6155697726817283,32.0,41.0
