id,event,w_environment_solar_taxcred_slp,start,stop
LA,0,0.1529727975820647,2.0,3.0
LA,0,0.2295296947346777,3.0,4.0
LA,0,0.2838695976060928,4.0,14.0
LA,1,0.2919977586508845,14.0,15.0
MA,0,0.2176309360038805,0.0,2.0
MA,0,0.2244058137992762,2.0,3.0
MA,0,0.3110263405874323,3.0,4.0
MA,0,0.3712013371005919,4.0,16.0
MA,0,0.4047579176727008,16.0,17.0
MA,0,0.4065596945681645,17.0,18.0
MA,0,0.4531731921788249,18.0,21.0
MA,0,0.4852536452388838,21.0,22.0
MA,0,0.5082217505087554,22.0,23.0
MA,0,0.5621747450860931,23.0,24.0
MA,0,0.5640639871869457,24.0,25.0
MA,0,0.5867292932714513,25.0,26.0
MA,0,0.5867292932714513,26.0,28.0
MA,0,0.6045417406912592,28.0,29.0
MA,0,0.6105096599992036,29.0,30.0
MA,0,0.6628340701807209,30.0,31.0
MA,0,0.6699094448733282,31.0,32.0
MA,0,0.7356587965900979,32.0,33.0
MA,0,0.7520554665192267,33.0,41.0
MD,0,0.1598393629331238,0.0,2.0
MD,0,0.1853004993954455,2.0,3.0
MD,0,0.1995744122072608,3.0,4.0
MD,0,0.2122584440828327,4.0,16.0
MD,0,0.2170332206360621,16.0,17.0
MD,0,0.2200458235909327,17.0,18.0
MD,1,0.2455382529835477,18.0,21.0
ME,0,0.0930599161661425,0.0,2.0
ME,0,0.0960962653225071,2.0,3.0
ME,0,0.1248846571113813,3.0,4.0
ME,0,0.1695099747190757,4.0,16.0
ME,0,0.1735411502864874,16.0,17.0
ME,0,0.1782890225596929,17.0,18.0
ME,0,0.1791001428222841,18.0,21.0
ME,0,0.258215590088741,21.0,22.0
ME,0,0.2583908732687405,22.0,23.0
ME,0,0.2921371231743264,23.0,24.0
ME,0,0.3611643474482642,24.0,25.0
ME,0,0.3901537251936726,25.0,26.0
ME,0,0.3901537251936726,26.0,28.0
ME,0,0.4442978123059594,28.0,29.0
ME,0,0.468264961916961,29.0,30.0
ME,0,0.5397912329362268,30.0,31.0
ME,0,0.5887652535925912,31.0,32.0
ME,0,0.771369711631175,32.0,33.0
ME,0,0.7920331960510791,33.0,41.0
MI,0,0.1661587290894594,0.0,2.0
MI,0,0.1743529818066931,2.0,3.0
MI,0,0.2430660846735443,3.0,4.0
MI,0,0.2521815739040225,4.0,16.0
MI,0,0.2646904943110678,16.0,17.0
MI,0,0.2778175866763605,17.0,18.0
MI,0,0.3036507179085378,18.0,21.0
MI,0,0.3827136300302541,21.0,22.0
MI,0,0.5096150410687054,22.0,23.0
MI,1,0.5563970778132755,23.0,24.0
MN,0,0.1040669329928009,0.0,2.0
MN,0,0.1935510841539011,2.0,3.0
