id,event,climate_action_plan_21_slp,start,stop
IN,0,0.2640343608483005,29.0,30.0
IN,0,0.5090416686556924,30.0,31.0
IN,0,0.5286800047168582,31.0,32.0
IN,0,0.5316686806419685,32.0,33.0
IN,0,0.5429546732036902,33.0,34.0
IN,0,0.5469198947022258,34.0,41.0
KS,0,0.0902032816751546,0.0,26.0
KS,0,0.1559375107660479,26.0,27.0
KS,0,0.1757124741717761,27.0,28.0
KS,0,0.2229578846911491,28.0,29.0
KS,0,0.2473321343923864,29.0,30.0
KS,0,0.4732209036353386,30.0,31.0
KS,0,0.5231270272295037,31.0,32.0
KS,0,0.5432901770528745,32.0,33.0
KS,0,0.5608343305230242,33.0,34.0
KS,0,0.6172207955741077,34.0,41.0
KY,0,0.1102306683622131,0.0,26.0
KY,0,0.2415990452233489,26.0,27.0
KY,0,0.2493349775578009,27.0,28.0
KY,0,0.2880475339374541,28.0,29.0
KY,0,0.3322504993085314,29.0,30.0
KY,0,0.6191344766446428,30.0,31.0
KY,1,0.6427826745827137,31.0,32.0
LA,0,0.0397545085582693,0.0,26.0
LA,0,0.0685145548890698,26.0,27.0
LA,0,0.069804467785818,27.0,28.0
LA,0,0.0813335384354904,28.0,29.0
LA,0,0.1743273782789639,29.0,30.0
LA,0,0.5590165213471315,30.0,31.0
LA,0,0.611437988583396,31.0,32.0
LA,0,0.6122885733979384,32.0,33.0
LA,0,0.6228130686633596,33.0,34.0
LA,0,0.6624844922508192,34.0,41.0
MA,0,0.0470931899180041,0.0,24.0
MA,1,0.0756260531791485,24.0,25.0
MD,0,0.0958406693822918,0.0,26.0
MD,0,0.217115755127216,26.0,27.0
MD,0,0.2335911649532332,27.0,28.0
MD,1,0.2533425957298778,28.0,29.0
ME,0,0.0415327450181082,0.0,24.0
ME,1,0.0504415095052852,24.0,25.0
MI,0,0.0688697734809734,0.0,26.0
MI,0,0.1501809748814284,26.0,27.0
MI,0,0.1606990565587676,27.0,28.0
MI,0,0.1797690832326651,28.0,29.0
MI,1,0.2142380410708983,29.0,30.0
MN,0,0.1056643611209671,0.0,26.0
MN,0,0.1346766278562615,26.0,27.0
MN,0,0.177644949528467,27.0,28.0
MN,1,0.1979767216761667,28.0,29.0
MO,0,0.047561885364535,0.0,22.0
MO,1,0.1357839881265778,22.0,23.0
MS,0,0.1263315711020171,0.0,26.0
MS,0,0.1728190674081021,26.0,27.0
MS,0,0.1854683789712274,27.0,28.0
MS,0,0.2194432782675589,28.0,29.0
MS,0,0.2402613656294792,29.0,30.0
MS,0,0.6059064249482187,30.0,31.0
MS,0,0.6243674261819734,31.0,32.0
MS,0,0.6455154155899737,32.0,33.0
MS,0,0.6695978434402513,33.0,34.0
MS,0,0.6926276721232172,34.0,41.0
MT,0,0.043282497666987,0.0,26.0
MT,0,0.0832695702773377,26.0,27.0
MT,1,0.0967047476855976,27.0,28.0
NC,0,0.0867702377545924,0.0,26.0
NC,0,0.1277368260794157,26.0,27.0
NC,0,0.1627565954813221,27.0,28.0
NC,1,0.3204864927903741,28.0,29.0
ND,0,0.1453548711067396,0.0,26.0
ND,0,0.1681512000850497,26.0,27.0
ND,0,0.2479089443426128,27.0,28.0
ND,0,0.3059950099718934,28.0,29.0
ND,0,0.3453692240234823,29.0,30.0
ND,0,0.5508342155211468,30.0,31.0
ND,0,0.5897819029548048,31.0,32.0
ND,0,0.6185763232342545,32.0,33.0
ND,0,0.6369676553522162,33.0,34.0
ND,0,0.6486015743969153,34.0,41.0
NE,0,0.1028978170247025,0.0,26.0
NE,0,0.1590215017249034,26.0,27.0
NE,0,0.1755625892389481,27.0,28.0
NE,0,0.2178828693415282,28.0,29.0
NE,0,0.304245577662097,29.0,30.0
NE,0,0.5842300120069882,30.0,31.0
NE,0,0.6049440332272056,31.0,32.0
NE,0,0.6269901234033471,32.0,33.0
NE,0,0.6386581397326938,33.0,34.0
NE,0,0.6656444359327944,34.0,41.0
NH,0,0.1218397248422519,0.0,26.0
NH,0,0.1482993422270709,26.0,27.0
NH,0,0.1771837367150937,27.0,28.0
NH,0,0.1928699950878762,28.0,29.0
NH,1,0.2497355598088918,29.0,30.0
NJ,0,0.0838507485715576,0.0,26.0
NJ,0,0.1075982794814732,26.0,27.0
NJ,0,0.1342699855740917,27.0,28.0
NJ,1,0.1514275162816616,28.0,29.0
NM,0,0.0441439108929142,0.0,26.0
NM,1,0.0665936028652308,26.0,27.0
NV,0,0.0905679598154432,0.0,26.0
NV,0,0.1665323056938149,26.0,27.0
NV,0,0.1858813922876752,27.0,28.0
NV,1,0.1932956433895194,28.0,29.0
NY,0,0.0772593191991227,0.0,26.0
NY,0,0.0898000097598575,26.0,27.0
NY,0,0.1439468856878464,27.0,28.0
NY,0,0.1984685587167712,28.0,29.0
NY,0,0.2649106461926262,29.0,30.0
NY,1,0.5425379139594998,30.0,31.0
OH,0,0.1224753414293867,0.0,26.0
OH,0,0.2256715771447023,26.0,27.0
OH,0,0.2298526240186289,27.0,28.0
OH,0,0.296753501479214,28.0,29.0
OH,0,0.3838799320082,29.0,30.0
OH,0,0.5838218192374925,30.0,31.0
OH,0,0.6152136249990415,31.0,32.0
OH,0,0.624515588734058,32.0,33.0
OH,0,0.6248802836057662,33.0,34.0
OH,0,0.6930938786338757,34.0,41.0
OK,0,0.0973703509413284,0.0,26.0
OK,0,0.1581732327585001,26.0,27.0
OK,0,0.1923336786006324,27.0,28.0
OK,0,0.2022245546045733,28.0,29.0
OK,0,0.2951019278396309,29.0,30.0
OK,0,0.5725157143216731,30.0,31.0
OK,0,0.6158466090186522,31.0,32.0
OK,0,0.6221689671002159,32.0,33.0
OK,0,0.6244393628649512,33.0,34.0
OK,0,0.648884887902999,34.0,41.0
OR,0,0.0589207463780225,0.0,24.0
OR,1,0.0828105997173733,24.0,25.0
PA,0,0.1466363014522523,0.0,26.0
PA,0,0.1529550960303514,26.0,27.0
PA,0,0.1691127335934734,27.0,28.0
PA,1,0.2369010741636882,28.0,29.0
RI,0,0.0490064009543814,0.0,22.0
RI,1,0.0506231961568118,22.0,23.0
SC,0,0.1779144008840046,0.0,26.0
SC,0,0.2223992810554498,26.0,27.0
SC,0,0.2256035939659857,27.0,28.0
SC,1,0.3029821083926483,28.0,29.0
SD,0,0.0947419966940138,0.0,26.0
SD,0,0.1608282603347353,26.0,27.0
SD,0,0.1684233586454422,27.0,28.0
SD,0,0.175739563499954,28.0,29.0
SD,0,0.2410079346588214,29.0,30.0
SD,0,0.4398093197629516,30.0,31.0
SD,0,0.4625261994817976,31.0,32.0
SD,0,0.5199387263668519,32.0,33.0
SD,0,0.5842213732539164,33.0,34.0
SD,0,0.6038096884310137,34.0,41.0
TN,0,0.1152471121059723,0.0,26.0
TN,0,0.1474999925847556,26.0,27.0
TN,0,0.179899919018288,27.0,28.0
TN,0,0.2070342009514883,28.0,29.0
TN,0,0.369382343806317,29.0,30.0
TN,0,0.5578519484383899,30.0,31.0
TN,0,0.6062950722263285,31.0,32.0
TN,0,0.676499976490251,32.0,33.0
TN,0,0.7239829406760796,33.0,34.0
TN,0,0.7314237370003313,34.0,41.0
TX,0,0.1200721067965337,0.0,26.0
TX,0,0.1532488733697777,26.0,27.0
TX,0,0.1585899175388982,27.0,28.0
TX,0,0.214733855904877,28.0,29.0
TX,0,0.2318126778730195,29.0,30.0
TX,0,0.5296408084175613,30.0,31.0
TX,0,0.6000569561663527,31.0,32.0
TX,0,0.6048663902215887,32.0,33.0
TX,0,0.6280847342568104,33.0,34.0
TX,0,0.6826746916562098,34.0,41.0
UT,0,0.0563019133261662,0.0,26.0
UT,0,0.0785916300324819,26.0,27.0
UT,0,0.0813895982531091,27.0,28.0
UT,0,0.1098377249072877,28.0,29.0
UT,0,0.1936789894912786,29.0,30.0
UT,0,0.4923930484515114,30.0,31.0
UT,0,0.5578793374280641,31.0,32.0
UT,0,0.5705136054120087,32.0,33.0
UT,0,0.6026470866103086,33.0,34.0
UT,0,0.6178795608689355,34.0,41.0
VA,0,0.1966386005132668,0.0,26.0
VA,0,0.2209193650031609,26.0,27.0
VA,0,0.2474593625431988,27.0,28.0
VA,1,0.2710101720532591,28.0,29.0
VT,0,0.0536123389192779,0.0,26.0
VT,0,0.1128728391693166,26.0,27.0
VT,1,0.1252259392081813,27.0,28.0
WA,0,0.1009242410380414,0.0,26.0
WA,0,0.1300298392388304,26.0,27.0
WA,0,0.147580294381524,27.0,28.0
WA,0,0.172911108898115,28.0,29.0
WA,0,0.2422775320088094,29.0,30.0
WA,0,0.5392936267207936,30.0,31.0
WA,0,0.5840774108484805,31.0,32.0
WA,0,0.5878380675620584,32.0,33.0
WA,1,0.5943090384582597,33.0,34.0
WI,0,0.1676911363997265,0.0,26.0
WI,0,0.1962261547396129,26.0,27.0
WI,0,0.2101216846127913,27.0,28.0
WI,1,0.2456489023977848,28.0,29.0
WV,0,0.1621365127208669,0.0,26.0
WV,0,0.2056014276240772,26.0,27.0
WV,0,0.206184910003161,27.0,28.0
WV,0,0.2330330574049208,28.0,29.0
WV,0,0.2512787685431425,29.0,30.0
WV,0,0.5651988981359877,30.0,31.0
WV,0,0.5945485415325634,31.0,32.0
WV,0,0.6128540282097363,32.0,33.0
WV,0,0.6361956588292897,33.0,34.0
WV,0,0.6451665861092375,34.0,41.0
WY,0,0.1020557872533326,0.0,26.0
WY,0,0.1748188639186853,26.0,27.0
WY,0,0.1751322045221465,27.0,28.0
WY,0,0.2387250673308477,28.0,29.0
WY,0,0.3116802600725529,29.0,30.0
WY,0,0.5917758445790563,30.0,31.0
WY,0,0.6044624823740063,31.0,32.0
WY,0,0.6432633577902851,32.0,33.0
WY,0,0.6521009764242334,33.0,34.0
WY,0,0.666458450906084,34.0,41.0
