id,event,pace_21_slp,start,stop
PA,0,0.448566277894086,35.0,36.0
PA,0,0.4488379200240899,36.0,37.0
PA,0,0.5251966758213078,37.0,38.0
PA,1,0.571978085190137,38.0,39.0
RI,0,0.0262000719552052,0.0,31.0
RI,0,0.3179003813801876,31.0,32.0
RI,0,0.4714088046089886,32.0,33.0
RI,0,0.4834075325330593,33.0,34.0
RI,0,0.5357944757883207,34.0,35.0
RI,1,0.5737951648641074,35.0,36.0
SC,0,0.0632102594391484,0.0,31.0
SC,0,0.2187627172099217,31.0,32.0
SC,0,0.5402835424828142,32.0,33.0
SC,0,0.54348785539335,33.0,34.0
SC,0,0.5872537624392373,34.0,35.0
SC,0,0.6748235153463235,35.0,36.0
SC,0,0.6977391395971683,36.0,37.0
SC,0,0.7327051757721837,37.0,38.0
SC,0,0.7383079977883953,38.0,39.0
SC,0,0.7425585407999222,39.0,40.0
SC,0,0.7847351460050489,40.0,41.0
SD,0,0.0372103234502942,0.0,31.0
SD,0,0.2129266236303892,31.0,32.0
SD,0,0.3277567827931021,32.0,33.0
SD,0,0.3353518811038091,33.0,34.0
SD,0,0.3354629241568945,34.0,35.0
SD,0,0.5275974401703298,35.0,36.0
SD,0,0.5667347604113039,36.0,37.0
SD,0,0.6480798094323186,37.0,38.0
SD,0,0.6559629751588498,38.0,39.0
SD,0,0.6842984861291995,39.0,40.0
SD,0,0.7197201669714083,40.0,41.0
TN,0,0.0072973309489531,0.0,31.0
TN,0,0.2207935332935001,31.0,32.0
TN,0,0.382471580122567,32.0,33.0
TN,0,0.4148715065560994,33.0,34.0
TN,0,0.4483178719381722,34.0,35.0
TN,0,0.4586685142625551,35.0,36.0
TN,0,0.4783799578611764,36.0,37.0
TN,0,0.5659172079928518,37.0,38.0
TN,0,0.5727190518878936,38.0,39.0
TN,0,0.5901250131887417,39.0,40.0
TN,0,0.6913407960889707,40.0,41.0
TX,0,0.0473819785278676,0.0,31.0
TX,0,0.1880327759374093,31.0,32.0
TX,0,0.4116081105845699,32.0,33.0
TX,1,0.4169491547536905,33.0,34.0
UT,0,0.0095422806848456,0.0,31.0
UT,0,0.1025260252711666,31.0,32.0
UT,0,0.315717441771795,32.0,33.0
