id,event,w_gg_rr_21_slp,start,stop
HI,0,0.013420668436398,28.0,29.0
HI,0,0.0735156223587413,29.0,30.0
HI,0,0.0956652257351995,30.0,31.0
HI,0,0.3013292593923384,31.0,32.0
HI,0,0.3013292593923384,32.0,41.0
IA,1,0.0,0.0,28.0
ID,0,0.0,0.0,28.0
ID,0,0.0059799883431731,28.0,29.0
ID,0,0.1132875841833036,29.0,30.0
ID,0,0.1719864282675774,30.0,31.0
ID,0,0.4232046077452354,31.0,32.0
ID,0,0.4232046077452354,32.0,41.0
IL,0,0.0,0.0,28.0
IL,0,0.0087660343476961,28.0,29.0
IL,0,0.0526732797382911,29.0,30.0
IL,0,0.0699042823238297,30.0,31.0
IL,0,0.3012808385898699,31.0,32.0
IL,0,0.3012808385898699,32.0,41.0
IN,0,0.0,0.0,28.0
IN,0,0.0039630544790213,28.0,29.0
IN,0,0.0712298125265485,29.0,30.0
IN,0,0.099364356516437,30.0,31.0
IN,0,0.2616505390539023,31.0,32.0
IN,0,0.2616505390539023,32.0,41.0
KS,0,0.0,0.0,28.0
KS,0,0.0071124247660804,28.0,29.0
KS,0,0.0492824456497903,29.0,30.0
KS,0,0.1477399175453308,30.0,31.0
KS,0,0.3231222511573916,31.0,32.0
KS,0,0.3231222511573916,32.0,41.0
KY,0,0.0,0.0,28.0
KY,0,0.0939521743952216,28.0,29.0
KY,0,0.1454374744819595,29.0,30.0
KY,0,0.2341669922004652,30.0,31.0
KY,0,0.4732561378524764,31.0,32.0
KY,0,0.4732561378524764,32.0,41.0
LA,0,0.0,0.0,28.0
LA,0,0.0012577085281403,28.0,29.0
LA,0,0.0606381857032271,29.0,30.0
LA,0,0.1711771774063354,30.0,31.0
LA,0,0.2963386786748703,31.0,32.0
LA,0,0.2963386786748703,32.0,41.0
MA,0,0.0,0.0,28.0
MA,0,0.0026252528778766,28.0,29.0
MA,1,0.0744355693807639,29.0,30.0
MD,0,0.0,0.0,28.0
MD,0,0.0249988075245758,28.0,29.0
