id,event,netmeter_yearadopted_21_slp,start,stop
RI,0,0.2073673051231092,13.0,14.0
RI,0,0.2235898250715053,14.0,15.0
RI,0,0.2474448728117712,15.0,19.0
RI,0,0.2721092994597777,19.0,20.0
RI,0,0.4256194034175976,20.0,21.0
RI,0,0.5323370625250099,21.0,22.0
RI,0,0.5323370625250099,22.0,23.0
RI,0,0.5471371584093885,23.0,24.0
RI,0,0.5585191811050584,24.0,25.0
RI,0,0.5802511086825742,25.0,26.0
RI,1,0.6279463526376223,26.0,27.0
SC,0,0.0,0.0,12.0
SC,0,0.0508993113734771,12.0,13.0
SC,0,0.0614825068571225,13.0,14.0
SC,0,0.069484650163157,14.0,15.0
SC,0,0.0776016825215682,15.0,19.0
SC,0,0.1126465155508032,19.0,20.0
SC,0,0.1779634228285251,20.0,21.0
SC,0,0.3876768973462682,21.0,22.0
SC,0,0.3876768973462682,22.0,23.0
SC,0,0.4915509151783169,23.0,24.0
SC,0,0.5009306779561769,24.0,25.0
SC,0,0.5021289316911666,25.0,26.0
SC,0,0.5638800216891247,26.0,27.0
SC,0,0.6078518076297896,27.0,28.0
SC,0,0.6525257909823247,28.0,29.0
SC,0,0.7267477483216753,29.0,30.0
SC,0,0.8819514686223322,30.0,31.0
SC,0,0.9038792721946828,31.0,32.0
SC,0,0.9048635374560408,32.0,33.0
SC,1,0.9048635374560408,33.0,35.0
SD,0,0.0,0.0,12.0
SD,0,0.0294103818825729,12.0,13.0
SD,0,0.0472226999420444,13.0,14.0
SD,0,0.0628718152468968,14.0,15.0
SD,0,0.0691977707483926,15.0,19.0
SD,0,0.0840017386490673,19.0,20.0
SD,0,0.1907064381679811,20.0,21.0
SD,0,0.32671195845698,21.0,22.0
SD,0,0.32671195845698,22.0,23.0
SD,0,0.3946856998462805,23.0,24.0
SD,0,0.4126881451837242,24.0,25.0
SD,0,0.4445902502555702,25.0,26.0
SD,0,0.5237535889196713,26.0,27.0
SD,0,0.6448558008304635,27.0,28.0
SD,0,0.6538404376987951,28.0,29.0
SD,0,0.6968242102884855,29.0,30.0
SD,0,0.7368589950585837,30.0,31.0
SD,0,0.7659497659254821,31.0,32.0
SD,0,0.7772170666669306,32.0,33.0
SD,0,0.7989620441599373,33.0,41.0
TN,0,0.0,0.0,12.0
TN,0,0.060686045148532,12.0,13.0
TN,0,0.0697178809418535,13.0,14.0
TN,0,0.0810616889247047,14.0,15.0
TN,0,0.0833600627221617,15.0,19.0
TN,0,0.1081687145982588,19.0,20.0
TN,0,0.2823900501503449,20.0,21.0
TN,0,0.4888643843311525,21.0,22.0
