id,event,environment_ghg_cap_21_slp,start,stop
NC,0,0.2199006707724917,30.0,41.0
ND,0,0.0,0.0,28.0
ND,0,0.169597010223269,28.0,29.0
ND,0,0.2606595320045521,29.0,30.0
ND,0,0.2722934510492512,30.0,41.0
NE,0,0.0,0.0,28.0
NE,0,0.1719698380042101,28.0,29.0
NE,0,0.2458619239307985,29.0,30.0
NE,0,0.2728482201308992,30.0,41.0
NH,1,0.0,0.0,27.0
NJ,1,0.0,0.0,27.0
NM,0,0.0,0.0,28.0
NM,0,0.1404961334638649,28.0,29.0
NM,0,0.1829701675350644,29.0,30.0
NM,0,0.1970068018394084,30.0,41.0
NV,0,0.0,0.0,28.0
NV,0,0.2017450022405831,28.0,29.0
NV,0,0.2397625770883476,29.0,30.0
NV,0,0.2530605831674196,30.0,41.0
NY,1,0.0,0.0,27.0
OH,0,0.0,0.0,28.0
OH,0,0.1652899388701254,28.0,29.0
OH,0,0.2201607067550254,29.0,30.0
OH,0,0.288374301783135,30.0,41.0
OK,0,0.0,0.0,28.0
OK,0,0.1780156014511569,28.0,29.0
OK,0,0.2277058405300047,29.0,30.0
OK,0,0.2521513655680526,30.0,41.0
OR,0,0.0,0.0,28.0
OR,0,0.1577666660942391,28.0,29.0
OR,0,0.2222322534078122,29.0,30.0
OR,0,0.2489961445996681,30.0,41.0
PA,0,0.0,0.0,28.0
PA,0,0.0593647716470438,28.0,29.0
PA,0,0.1035851911460371,29.0,30.0
PA,1,0.1486411284715094,30.0,41.0
RI,1,0.0,0.0,28.0
SC,0,0.0,0.0,28.0
SC,0,0.1375348382538347,28.0,29.0
SC,0,0.1844107930982693,29.0,30.0
SC,0,0.1959106902167265,30.0,41.0
SD,0,0.0,0.0,28.0
SD,0,0.1042355270268683,28.0,29.0
SD,0,0.1464711967032163,29.0,30.0
SD,0,0.1660595118803135,30.0,41.0
TN,0,0.0,0.0,28.0
TN,0,0.2527002923028139,28.0,29.0
TN,0,0.3014219827621062,29.0,30.0
TN,0,0.308862779086358,30.0,41.0
TX,0,0.0,0.0,28.0
TX,0,0.07871143043706,28.0,29.0
TX,0,0.1994209938022929,29.0,30.0
TX,0,0.2540109512016922,30.0,41.0
UT,0,0.0,0.0,28.0
UT,0,0.0990993290217357,28.0,29.0
UT,0,0.1349101640778034,29.0,30.0
UT,0,0.1501426383364302,30.0,41.0
VA,0,0.0,0.0,28.0
VA,0,0.0781173830073467,28.0,29.0
VA,0,0.1710477742552304,29.0,30.0
VA,1,0.1870227327326897,30.0,41.0
VT,1,0.0,0.0,27.0
WA,0,0.0,0.0,28.0
WA,0,0.159233757729228,28.0,29.0
WA,0,0.2108068075473579,29.0,30.0
WA,1,0.2108068075473579,30.0,37.0
WI,0,0.0,0.0,28.0
WI,0,0.1172824788192185,28.0,29.0
WI,0,0.1319940264188222,29.0,30.0
WI,0,0.1566998046538042,30.0,41.0
WV,0,0.0,0.0,28.0
WV,0,0.2138771807882453,28.0,29.0
WV,0,0.2852616454781997,29.0,30.0
WV,0,0.2942325727581474,30.0,41.0
WY,0,0.0,0.0,28.0
WY,0,0.18134657633866,28.0,29.0
WY,0,0.241811719166635,29.0,30.0
WY,0,0.2561691936484857,30.0,41.0
