id,event,w4_gas_decoupling_21_slp,start,stop
LA,0,0.5130009945889279,30.0,31.0
LA,0,0.514637518433033,31.0,32.0
LA,0,0.6035243082513373,32.0,33.0
LA,0,0.6523701195406568,33.0,34.0
LA,0,0.6708832876865005,34.0,35.0
LA,0,0.7416576077643509,35.0,36.0
LA,0,0.7469173060519487,36.0,40.0
LA,0,0.7585499073360032,40.0,41.0
MA,0,0.0405859014660581,0.0,20.0
MA,0,0.0762367652180338,20.0,21.0
MA,0,0.1003347461747325,21.0,22.0
MA,0,0.1170914286702881,22.0,23.0
MA,0,0.1573920006302832,23.0,27.0
MA,0,0.2520287458951964,27.0,28.0
MA,1,0.2752108557633911,28.0,29.0
MD,0,0.0459908033998631,0.0,20.0
MD,0,0.0624662132258804,20.0,21.0
MD,0,0.0633278075933643,21.0,22.0
MD,0,0.139171631554651,22.0,23.0
MD,0,0.139171631554651,23.0,25.0
MD,1,0.1631799121618813,25.0,26.0
ME,0,0.0189198153198477,0.0,20.0
ME,0,0.0446292663830347,20.0,21.0
ME,0,0.085429450586165,21.0,22.0
ME,0,0.1600186013995257,22.0,23.0
ME,0,0.1819034299573686,23.0,27.0
ME,0,0.2159979886443382,27.0,28.0
ME,0,0.2205555964876649,28.0,29.0
ME,0,0.388656838691597,29.0,30.0
ME,0,0.594951576599345,30.0,31.0
ME,0,0.6051279871703215,31.0,32.0
ME,0,0.7296204992614775,32.0,33.0
ME,0,0.7801851914907617,33.0,34.0
ME,0,0.7864468473240638,34.0,35.0
ME,0,0.8666220226955978,35.0,36.0
ME,0,0.8669988870038007,36.0,40.0
ME,0,0.8798912083216401,40.0,41.0
MI,0,0.038602735100471,0.0,20.0
MI,0,0.0491208167778102,20.0,21.0
MI,0,0.0525909456211487,21.0,22.0
MI,0,0.0623943261198298,22.0,23.0
MI,0,0.0971805166665592,23.0,27.0
MI,0,0.2442380329208131,27.0,28.0
MI,1,0.2709273588018346,28.0,29.0
MN,1,0.0206614201992809,0.0,20.0
MO,0,0.062270521114823,0.0,20.0
MO,0,0.0675032446649016,20.0,21.0
MO,0,0.1396910003027968,21.0,22.0
MO,0,0.159000655219911,22.0,23.0
MO,0,0.1667290688491814,23.0,27.0
MO,0,0.2706916813138278,27.0,28.0
MO,0,0.316871298794384,28.0,29.0
MO,0,0.3685987311506637,29.0,30.0
MO,0,0.4846972645835301,30.0,31.0
MO,0,0.5102249325441752,31.0,32.0
MO,0,0.6451952477790038,32.0,33.0
MO,0,0.6719616151045664,33.0,34.0
MO,0,0.6756582354740212,34.0,35.0
MO,0,0.6886127627096374,35.0,36.0
MO,0,0.6966328446349422,36.0,40.0
MO,0,0.7007657791120798,40.0,41.0
MS,0,0.0784797106195941,0.0,20.0
MS,0,0.0911290221827194,20.0,21.0
MS,0,0.1254237785586918,21.0,22.0
MS,0,0.1439572497786817,22.0,23.0
MS,0,0.1759763643701285,23.0,27.0
MS,0,0.2061967073788502,27.0,28.0
MS,0,0.2682594871545295,28.0,29.0
MS,0,0.3687057506112662,29.0,30.0
MS,0,0.4225337294774755,30.0,31.0
MS,0,0.4773168730055342,31.0,32.0
MS,0,0.6153086423667625,32.0,33.0
MS,0,0.6355281648453136,33.0,34.0
MS,0,0.6634256464598643,34.0,35.0
MS,0,0.6967178072292011,35.0,36.0
MS,1,0.7337106689115873,36.0,40.0
MT,0,0.0409248925208626,0.0,20.0
MT,0,0.0543600699291225,20.0,21.0
MT,0,0.0710458768427839,21.0,22.0
MT,0,0.1298705808978993,22.0,23.0
MT,0,0.1369173139650692,23.0,27.0
MT,0,0.2185966352147085,27.0,28.0
MT,0,0.2490357556155393,28.0,29.0
MT,0,0.371233358899048,29.0,30.0
MT,0,0.5049171748129494,30.0,31.0
MT,0,0.533505352026245,31.0,32.0
MT,0,0.6878002630904869,32.0,33.0
MT,1,0.706618070237134,33.0,34.0
NC,0,0.0940784746855148,0.0,20.0
NC,0,0.1290982440874212,20.0,21.0
NC,0,0.1304426519903944,21.0,22.0
NC,0,0.1895756972410757,22.0,23.0
NC,0,0.1895756972410757,23.0,25.0
NC,1,0.2051069807249619,25.0,26.0
ND,0,0.0979723825573301,0.0,20.0
ND,0,0.1777301268148931,20.0,21.0
ND,0,0.1956377359207503,21.0,22.0
ND,0,0.2293065410798154,22.0,23.0
ND,0,0.2442335462964182,23.0,27.0
ND,0,0.2682499856752147,27.0,28.0
ND,0,0.3179410469575831,28.0,29.0
ND,0,0.4670491260395737,29.0,30.0
ND,0,0.5814725414465389,30.0,31.0
ND,0,0.5883582151467609,31.0,32.0
ND,0,0.6418049404566096,32.0,33.0
ND,0,0.6480770574359798,33.0,34.0
ND,0,0.6797662706484612,34.0,35.0
ND,0,0.7435001393978359,35.0,36.0
ND,0,0.7543360715555398,36.0,40.0
ND,0,0.7805033800292772,40.0,41.0
NE,0,0.0636136931536317,0.0,20.0
NE,0,0.0801547806676764,20.0,21.0
NE,0,0.1013104454800673,21.0,22.0
NE,0,0.149255309194561,22.0,23.0
NE,0,0.1592467307779021,23.0,27.0
NE,0,0.2222892469959726,27.0,28.0
NE,0,0.2646462332031469,28.0,29.0
NE,0,0.3868066338581964,29.0,30.0
NE,0,0.5534855725751269,30.0,31.0
NE,0,0.5637828757036114,31.0,32.0
NE,0,0.6109452075646113,32.0,33.0
NE,0,0.62373279626244,33.0,34.0
NE,0,0.627634022239771,34.0,35.0
NE,0,0.7121209867775273,35.0,36.0
NE,0,0.7229504518850639,36.0,40.0
NE,0,0.7401558912607045,40.0,41.0
NH,0,0.0166418107631785,0.0,20.0
NH,1,0.0455262052512013,20.0,21.0
NJ,0,0.0932128483615887,0.0,20.0
NJ,0,0.1198845544542073,20.0,21.0
NJ,0,0.1280920818851627,21.0,22.0
NJ,0,0.1391982029719953,22.0,23.0
NJ,1,0.1444111787557122,23.0,27.0
NM,0,0.0586385533195111,0.0,20.0
NM,0,0.0703637015893894,20.0,21.0
