id,event,w_ee_21_slp,start,stop
DE,0,0.2988328382506282,29.0,30.0
DE,0,0.4483584750155882,30.0,31.0
DE,0,0.4813806639222755,31.0,32.0
DE,0,0.5472534967320452,32.0,33.0
DE,0,0.5508971589720124,33.0,34.0
DE,0,0.5523360244870882,34.0,40.0
DE,0,0.5840354095768103,40.0,41.0
FL,0,0.0046185041626643,0.0,26.0
FL,0,0.0535819892710787,26.0,27.0
FL,0,0.0614352934450996,27.0,28.0
FL,0,0.0785464390343932,28.0,29.0
FL,0,0.1854544185915603,29.0,30.0
FL,0,0.3107398995289196,30.0,31.0
FL,0,0.3674105586074481,31.0,32.0
FL,0,0.3873094367908227,32.0,33.0
FL,0,0.4686374317549927,33.0,34.0
FL,0,0.4751492466621083,34.0,40.0
FL,0,0.5032618254649076,40.0,41.0
GA,0,0.0125745420806958,0.0,26.0
GA,0,0.0463407009150717,26.0,27.0
GA,0,0.0569130401135204,27.0,28.0
GA,0,0.085643189743366,28.0,29.0
GA,0,0.1728470401133793,29.0,30.0
GA,0,0.3165992233251043,30.0,31.0
GA,0,0.3886798740373935,31.0,32.0
GA,0,0.3906722679168375,32.0,33.0
GA,0,0.4172300679167423,33.0,34.0
GA,0,0.423586893849704,34.0,40.0
GA,0,0.4289754746712012,40.0,41.0
HI,0,0.0076580532976857,0.0,26.0
HI,0,0.0210787217340837,26.0,27.0
HI,0,0.0267647456473712,27.0,28.0
HI,0,0.0565999061019093,28.0,29.0
HI,1,0.1575198580096385,29.0,30.0
IA,0,0.0110376069432973,0.0,26.0
IA,0,0.035516725008406,26.0,27.0
IA,0,0.0420131920852309,27.0,28.0
IA,1,0.0909521169067237,28.0,29.0
ID,0,0.0369547681214117,0.0,26.0
ID,0,0.0429347564645848,26.0,27.0
ID,0,0.0496833330701679,27.0,28.0
ID,0,0.1140497581066097,28.0,29.0
ID,0,0.2424401281077644,29.0,30.0
ID,0,0.4140792993023345,30.0,31.0
ID,0,0.4412555436727419,31.0,32.0
ID,0,0.4547846589146722,32.0,33.0
ID,0,0.458467199449325,33.0,34.0
ID,0,0.4686429872555958,34.0,40.0
ID,0,0.5478885670971001,40.0,41.0
IL,0,0.013619504767083,0.0,26.0
IL,0,0.0223855391147791,26.0,27.0
IL,1,0.0509584358124493,27.0,28.0
IN,0,0.0155042174432518,0.0,26.0
IN,0,0.0194672719222732,26.0,27.0
IN,0,0.1083040407866236,27.0,28.0
IN,0,0.1695164638093629,28.0,29.0
IN,1,0.23454625661231,29.0,30.0
KS,0,0.0063997034304461,0.0,26.0
KS,0,0.0135121281965265,26.0,27.0
KS,0,0.0332870916022547,27.0,28.0
KS,0,0.1344970416892393,28.0,29.0
KS,0,0.2158086798719909,29.0,30.0
KS,0,0.3409605862204933,30.0,31.0
KS,0,0.4655468337855157,31.0,32.0
KS,0,0.487137605811955,32.0,33.0
KS,0,0.4969608712237318,33.0,34.0
KS,0,0.5119428438226994,34.0,40.0
KS,0,0.5126527179264162,40.0,41.0
KY,0,0.0271444997770237,0.0,26.0
KY,0,0.1210966741722454,26.0,27.0
KY,0,0.1288326065066974,27.0,28.0
KY,0,0.1505464407335832,28.0,29.0
KY,0,0.1993088949805301,29.0,30.0
KY,0,0.3584141525956086,30.0,31.0
KY,0,0.4200435878610567,31.0,32.0
KY,0,0.4281735420197739,32.0,33.0
KY,0,0.4392762016794101,33.0,34.0
KY,0,0.452819768358383,34.0,40.0
KY,0,0.4989724560131893,40.0,41.0
LA,0,0.0051503611318482,0.0,26.0
LA,0,0.0064080696599886,26.0,27.0
LA,0,0.0076979825567367,27.0,28.0
LA,0,0.05028595224723,28.0,29.0
LA,0,0.1094159998816266,29.0,30.0
