id,event,w_ghg_targets_21_slp,start,stop
IA,0,0.4343351054315906,32.0,40.0
IA,0,0.5034652827651069,40.0,41.0
ID,0,0.0,0.0,23.0
ID,0,0.0456026353795001,23.0,24.0
ID,0,0.0767583983444979,24.0,25.0
ID,0,0.079414793725973,25.0,26.0
ID,0,0.079414793725973,26.0,27.0
ID,0,0.0977884860604476,27.0,28.0
ID,0,0.1113176013023778,28.0,29.0
ID,0,0.3024543937332686,29.0,30.0
ID,0,0.362819960394183,30.0,31.0
ID,0,0.3813232143244414,31.0,32.0
ID,0,0.4025368557720237,32.0,40.0
ID,0,0.4834019877689348,40.0,41.0
IL,0,0.0,0.0,23.0
IL,0,0.0329270973025105,23.0,24.0
IL,0,0.1018051084085562,24.0,25.0
IL,0,0.1030998206217452,25.0,26.0
IL,0,0.1030998206217452,26.0,27.0
IL,1,0.1262318483117487,27.0,28.0
IN,0,0.0,0.0,23.0
IN,0,0.0430436245765517,23.0,24.0
IN,0,0.046032300501662,24.0,25.0
IN,0,0.0652527823496451,25.0,26.0
IN,0,0.0652527823496451,26.0,27.0
IN,0,0.0754252914356452,27.0,28.0
IN,0,0.0813930505445602,28.0,29.0
IN,0,0.1615462180105217,29.0,30.0
IN,0,0.2627224855331189,30.0,31.0
IN,0,0.2905051166267287,31.0,32.0
IN,0,0.2932697732679706,32.0,40.0
IN,0,0.2983492346265181,40.0,41.0
KS,0,0.0,0.0,23.0
KS,0,0.0768883286673079,23.0,24.0
KS,0,0.0970514784906787,24.0,25.0
KS,0,0.1395320688290628,25.0,26.0
KS,0,0.1395320688290628,26.0,27.0
KS,0,0.1722991320880769,27.0,28.0
KS,0,0.1938899041145162,28.0,29.0
KS,0,0.3437401789423766,29.0,30.0
KS,0,0.401584303209237,30.0,31.0
KS,0,0.4464412966529514,31.0,32.0
KS,0,0.4551786108652959,32.0,40.0
KS,0,0.462541742312849,40.0,41.0
KY,0,0.0,0.0,23.0
KY,0,0.0681678047161911,23.0,24.0
KY,0,0.100785697644147,24.0,25.0
KY,0,0.1249574551877475,25.0,26.0
KY,0,0.1249574551877475,26.0,27.0
KY,0,0.2494922318039051,27.0,28.0
KY,0,0.2576221859626223,28.0,29.0
KY,0,0.4090101896482439,29.0,30.0
KY,0,0.4786613166820999,30.0,31.0
KY,0,0.5059923819766503,31.0,32.0
KY,0,0.536615061192081,32.0,40.0
KY,0,0.5438820033896281,40.0,41.0
LA,0,0.0,0.0,23.0
LA,0,0.09153762594653,23.0,24.0
LA,0,0.0923882107610723,24.0,25.0
LA,0,0.0978736140117023,25.0,26.0
LA,0,0.0978736140117023,26.0,27.0
LA,0,0.1001356304410335,27.0,28.0
LA,0,0.110660393189515,28.0,29.0
LA,0,0.2936156286947946,29.0,30.0
LA,0,0.3069340938821634,30.0,31.0
LA,0,0.3335332535966365,31.0,32.0
LA,0,0.3444165880652282,32.0,40.0
LA,1,0.3622655992781737,40.0,41.0
MA,0,0.0,0.0,23.0
MA,0,0.0373980238957837,23.0,24.0
MA,0,0.0789116353497169,24.0,25.0
MA,0,0.0960945548057741,25.0,26.0
MA,0,0.0960945548057741,26.0,27.0
MA,0,0.1006090497845033,27.0,28.0
MA,1,0.102410826679967,28.0,29.0
MD,0,0.0,0.0,23.0
MD,0,0.0939582590184012,23.0,24.0
MD,0,0.1288470701718611,24.0,25.0
MD,0,0.1805900513688527,25.0,26.0
MD,0,0.1805900513688527,26.0,27.0
MD,0,0.2223276867152026,27.0,28.0
MD,0,0.225340289670073,28.0,29.0
MD,1,0.3594397960611645,29.0,30.0
ME,0,0.0,0.0,23.0
