id,event,environment_utility_deregul_slp,start,stop
NM,0,0.026349452247039,18.0,19.0
NM,0,0.1383884324197519,19.0,20.0
NM,0,0.1901884434514882,20.0,21.0
NM,0,0.2105282276695199,21.0,22.0
NM,0,0.2239953845571435,22.0,23.0
NM,0,0.2578437079390323,23.0,41.0
NV,0,0.0,0.0,18.0
NV,0,0.0288356873015942,18.0,19.0
NV,0,0.1143079741442326,19.0,20.0
NV,0,0.23057745404422,20.0,21.0
NV,0,0.271169470647663,21.0,22.0
NV,0,0.3186365850408674,22.0,23.0
NV,0,0.363186594721773,23.0,41.0
NY,1,0.0,0.0,18.0
OH,1,0.0,0.0,17.0
OK,0,0.0,0.0,18.0
OK,0,0.1144438565364025,18.0,19.0
OK,0,0.1988379894961728,19.0,20.0
OK,0,0.2788176008654049,20.0,21.0
OK,0,0.3516602988765919,21.0,22.0
OK,0,0.365179726588432,22.0,23.0
OK,0,0.3800864665358208,23.0,41.0
OR,1,0.0,0.0,18.0
PA,1,0.0,0.0,17.0
RI,1,0.0,0.0,17.0
SC,0,0.0,0.0,18.0
SC,0,0.0985057574567458,18.0,19.0
SC,0,0.1672676936131539,19.0,20.0
SC,0,0.2628927784469504,20.0,21.0
SC,0,0.3627274553277434,21.0,22.0
SC,0,0.3703019329637771,22.0,23.0
SC,0,0.4047308997032879,23.0,41.0
SD,0,0.0,0.0,18.0
SD,0,0.0229548126232612,18.0,19.0
SD,0,0.1850940762795498,19.0,20.0
SD,0,0.2333334865401149,20.0,21.0
SD,0,0.2645691546454478,21.0,22.0
SD,0,0.2735906658141832,22.0,23.0
SD,0,0.4507833047341064,23.0,41.0
TN,0,0.0,0.0,18.0
TN,0,0.0841134490882757,18.0,19.0
TN,0,0.2780853028598177,19.0,20.0
TN,0,0.3681025426300832,20.0,21.0
TN,0,0.4696621827836895,21.0,22.0
TN,0,0.4730294301150571,22.0,23.0
TN,0,0.478451599630437,23.0,41.0
TX,0,0.0,0.0,18.0
TX,0,0.1074456454043677,18.0,19.0
TX,0,0.1655743016349226,19.0,20.0
TX,0,0.249513431447685,20.0,21.0
TX,0,0.2709398476280125,21.0,22.0
TX,1,0.2888328940149801,22.0,23.0
UT,0,0.0,0.0,18.0
UT,0,0.0193034327315079,18.0,19.0
UT,0,0.1201809760336499,19.0,20.0
UT,0,0.1961775719079166,20.0,21.0
UT,0,0.2575765932950581,21.0,22.0
UT,0,0.2675559016761719,22.0,23.0
UT,0,0.3188991291981425,23.0,41.0
VA,0,0.0,0.0,18.0
VA,0,0.083377578045399,18.0,19.0
VA,0,0.1622509127057177,19.0,20.0
VA,0,0.2476429101031272,20.0,21.0
VA,0,0.2703136720953853,21.0,22.0
VA,0,0.2713127729350285,22.0,23.0
VA,1,0.2790314914790501,23.0,28.0
VT,0,0.0,0.0,18.0
VT,0,0.0175419857891275,18.0,19.0
VT,0,0.0723494849276259,19.0,20.0
VT,0,0.1570167517721756,20.0,21.0
VT,0,0.2062592686240849,21.0,22.0
VT,0,0.2110031722089083,22.0,23.0
VT,0,0.2611693999735829,23.0,41.0
WA,0,0.0,0.0,18.0
WA,0,0.1009579203248641,18.0,19.0
WA,0,0.1637936414536075,19.0,20.0
WA,0,0.2266405289723406,20.0,21.0
WA,0,0.3023587765750372,21.0,22.0
WA,0,0.3091846411857291,22.0,23.0
WA,0,0.3412294025714819,23.0,41.0
WI,0,0.0,0.0,18.0
WI,0,0.0515343996927737,18.0,19.0
WI,0,0.0931055526354542,19.0,20.0
WI,0,0.1626698322998796,20.0,21.0
WI,0,0.2203659879964664,21.0,22.0
WI,0,0.2315586678488708,22.0,23.0
WI,0,0.2476383040307776,23.0,41.0
WV,0,0.0,0.0,18.0
WV,0,0.0378819332573905,18.0,19.0
WV,0,0.0908794339817831,19.0,20.0
WV,0,0.1287264664768413,20.0,21.0
WV,0,0.3334054019697452,21.0,22.0
WV,0,0.352706196922791,22.0,23.0
WV,0,0.3925112599618893,23.0,41.0
WY,0,0.0,0.0,18.0
WY,0,0.0529933191926549,18.0,19.0
WY,0,0.1638117683297563,19.0,20.0
WY,0,0.186359827186837,20.0,21.0
WY,0,0.2871154034219049,21.0,22.0
