id,event,public_building_standards_slp,start,stop
MT,0,0.0401432814960305,22.0,23.0
MT,0,0.111848265984545,23.0,24.0
MT,0,0.1215383637542304,24.0,25.0
MT,0,0.139420148558402,25.0,26.0
MT,0,0.1592579564192686,26.0,27.0
MT,0,0.2757007796065448,27.0,28.0
MT,0,0.3296127114757091,28.0,29.0
MT,1,0.5017904076227264,29.0,30.0
NC,0,0.0,0.0,22.0
NC,0,0.0353287213789383,22.0,23.0
NC,0,0.0488433003563491,23.0,24.0
NC,0,0.069746529704718,24.0,25.0
NC,0,0.1264068374657344,25.0,26.0
NC,0,0.190189155198605,26.0,27.0
NC,1,0.3556200780929587,27.0,28.0
ND,0,0.0,0.0,22.0
ND,0,0.0166492632546907,22.0,23.0
ND,0,0.0802209006056046,23.0,24.0
ND,0,0.0907706833978181,24.0,25.0
ND,0,0.0965368770405079,25.0,26.0
ND,0,0.1343519783735505,26.0,27.0
ND,0,0.2556937626669215,27.0,28.0
ND,0,0.4104274231622979,28.0,29.0
ND,0,0.4756387177078148,29.0,30.0
ND,0,0.6147355090142281,30.0,31.0
ND,0,0.7309478935020252,31.0,32.0
ND,0,0.73805419991771,32.0,33.0
ND,0,0.8003024503376933,33.0,34.0
ND,0,0.8346525533049372,34.0,35.0
ND,0,0.8368361601734667,35.0,36.0
ND,0,0.8368361601734667,36.0,41.0
NE,0,0.0,0.0,22.0
NE,0,0.0443513393337411,22.0,23.0
NE,0,0.0951370170457923,23.0,24.0
NE,0,0.1208514355245055,24.0,25.0
NE,0,0.1647387268646374,25.0,26.0
NE,0,0.2011966138062241,26.0,27.0
NE,0,0.3136048374913714,27.0,28.0
NE,0,0.406902113437501,28.0,29.0
NE,0,0.5763116933089437,29.0,30.0
NE,0,0.620356589575825,30.0,31.0
NE,0,0.6856157484836284,31.0,32.0
NE,0,0.7020209848442596,32.0,33.0
NE,0,0.7395951552468017,33.0,34.0
NE,0,0.8512168962401222,34.0,35.0
NE,0,0.8525920617399586,35.0,36.0
NE,0,0.8525920617399586,36.0,41.0
NH,0,0.0,0.0,22.0
NH,0,0.0219286681524025,22.0,23.0
NH,0,0.0706769234878449,23.0,24.0
NH,0,0.1515637627303642,24.0,25.0
NH,0,0.1688732036301738,25.0,26.0
NH,0,0.2028286291625088,26.0,27.0
NH,0,0.367997586596744,27.0,28.0
NH,0,0.416549557622358,28.0,29.0
NH,0,0.5938033563906797,29.0,30.0
NH,1,0.7086740748399155,30.0,31.0
NJ,0,0.0,0.0,22.0
NJ,1,0.0590398655576261,22.0,23.0
NM,0,0.0,0.0,22.0
NM,0,0.0170067533422131,22.0,23.0
NM,0,0.1329997455502587,23.0,24.0
NM,0,0.1358401461452022,24.0,25.0
NM,0,0.151985445379523,25.0,26.0
NM,0,0.1740322487969172,26.0,27.0
NM,0,0.3628455515742779,27.0,28.0
NM,0,0.4370326693686889,28.0,29.0
NM,0,0.5385748110527794,29.0,30.0
NM,0,0.6968252407988136,30.0,31.0
NM,0,0.7203422199599631,31.0,32.0
NM,0,0.7485398697137352,32.0,33.0
NM,0,0.7615311981116428,33.0,34.0
NM,0,0.7806716193060836,34.0,35.0
NM,0,0.7886027840822596,35.0,36.0
NM,0,0.7886027840822596,36.0,41.0
NV,0,0.0,0.0,22.0
NV,0,0.0251250762244438,22.0,23.0
NV,0,0.1237637198936377,23.0,24.0
NV,0,0.1286764052570645,24.0,25.0
NV,1,0.1789537481244521,25.0,26.0
NY,1,0.0,0.0,22.0
OH,0,0.0,0.0,22.0
OH,0,0.0225518251620216,22.0,23.0
OH,0,0.0855239522608207,23.0,24.0
OH,0,0.1053654049343921,24.0,25.0
OH,0,0.2113359966670482,25.0,26.0
OH,0,0.2420533819984147,26.0,27.0
OH,1,0.3847115163711894,27.0,28.0
OK,0,0.0,0.0,22.0
OK,0,0.0485583661086499,22.0,23.0
OK,0,0.105536456908792,23.0,24.0
OK,0,0.1570105248988941,24.0,25.0
OK,0,0.1710975954352667,25.0,26.0
OK,0,0.2293600152591149,26.0,27.0
OK,0,0.3321403790475258,27.0,28.0
OK,0,0.4239097355240364,28.0,29.0
OK,0,0.5603523575181372,29.0,30.0
OK,0,0.6835523190128487,30.0,31.0
OK,0,0.7720467765225216,31.0,32.0
OK,1,0.8025004475639544,32.0,33.0
OR,1,0.0,0.0,21.0
PA,0,0.0,0.0,22.0
PA,0,0.0091446983109964,22.0,23.0
PA,0,0.0335260005555664,23.0,24.0
PA,1,0.0437324246385385,24.0,25.0
RI,0,0.0,0.0,22.0
RI,0,0.0101235451508346,22.0,23.0
RI,0,0.1187139352104884,23.0,24.0
RI,0,0.1711008784657497,24.0,25.0
RI,0,0.2112248074519657,25.0,26.0
RI,0,0.2407876644030596,26.0,27.0
RI,0,0.3030862918556372,27.0,28.0
RI,0,0.3512177513125072,28.0,29.0
RI,1,0.4874660315684953,29.0,30.0
SC,0,0.0,0.0,22.0
SC,0,0.0390324730370675,22.0,23.0
SC,0,0.0862963079868576,23.0,24.0
SC,0,0.1300622150327449,24.0,25.0
SC,0,0.1581575194714227,25.0,26.0
SC,0,0.2003341246765493,26.0,27.0
SC,1,0.3282635773915128,27.0,28.0
SD,0,0.0,0.0,22.0
SD,0,0.0532538456612552,22.0,23.0
SD,0,0.2627220113650489,23.0,24.0
SD,0,0.2628330544181344,24.0,25.0
SD,0,0.2729636794280907,25.0,26.0
SD,0,0.3083853602702995,26.0,27.0
SD,0,0.3774097721298154,27.0,28.0
SD,1,0.462737444642008,28.0,29.0
TN,0,0.0,0.0,22.0
TN,0,0.0353513306772479,22.0,23.0
TN,0,0.1178266801697941,23.0,24.0
TN,0,0.151273045551867,24.0,25.0
TN,0,0.1558898929001367,25.0,26.0
TN,0,0.2571056758003658,26.0,27.0
TN,0,0.3256459426352219,27.0,28.0
TN,1,0.393818823872933,28.0,29.0
TX,1,0.0,0.0,22.0
UT,0,0.0,0.0,22.0
UT,0,0.0239673436943888,22.0,23.0
UT,0,0.0957778428409983,23.0,24.0
UT,0,0.1171283608662077,24.0,25.0
UT,0,0.1326232681145636,25.0,26.0
UT,1,0.1657903522366133,26.0,27.0
VA,0,0.0,0.0,22.0
VA,0,0.034086154348795,22.0,23.0
VA,0,0.0948676214863678,23.0,24.0
VA,0,0.0966804874776413,24.0,25.0
VA,0,0.1082647535272604,25.0,26.0
VA,0,0.1160736029368907,26.0,27.0
VA,0,0.203555309163391,27.0,28.0
VA,0,0.2968687437248792,28.0,29.0
VA,0,0.3963538189863375,29.0,30.0
VA,0,0.5826040193369408,30.0,31.0
VA,0,0.7393681624729576,31.0,32.0
VA,0,0.7552018392138719,32.0,33.0
VA,0,0.7556172794684695,33.0,34.0
VA,0,0.8616628597748566,34.0,35.0
VA,0,0.8712047972632639,35.0,36.0
VA,0,0.8712047972632639,36.0,41.0
VT,0,0.0,0.0,22.0
VT,0,0.046284710267137,22.0,23.0
VT,0,0.0568700466585513,23.0,24.0
VT,0,0.0786465475724486,24.0,25.0
VT,0,0.1211580252949043,25.0,26.0
VT,0,0.1500307932367736,26.0,27.0
VT,0,0.2700537897987629,27.0,28.0
VT,0,0.4278828608372793,28.0,29.0
VT,0,0.5777122314001439,29.0,30.0
VT,0,0.702991798494026,30.0,31.0
VT,0,0.7248823488299446,31.0,32.0
VT,0,0.7649778057528673,32.0,33.0
VT,0,0.7663843390357631,33.0,34.0
VT,0,0.8083451626564409,34.0,35.0
VT,0,0.8516083809035053,35.0,36.0
VT,0,0.8516083809035053,36.0,41.0
WA,0,0.0,0.0,22.0
WA,0,0.0313779147832821,22.0,23.0
WA,0,0.0813725043703499,23.0,24.0
WA,0,0.1271010587993204,24.0,25.0
WA,1,0.1435421007137353,25.0,26.0
WI,0,0.0,0.0,22.0
WI,0,0.0111413385800534,22.0,23.0
WI,0,0.037288631767139,23.0,24.0
WI,0,0.0774315796530018,24.0,25.0
WI,0,0.1200364483180407,25.0,26.0
WI,1,0.1519821942545735,26.0,27.0
WV,0,0.0,0.0,22.0
WV,0,0.056663071889454,22.0,23.0
WV,0,0.1181717732175264,23.0,24.0
WV,0,0.2332727401329281,24.0,25.0
WV,0,0.278084436851792,25.0,26.0
WV,0,0.3315914154993562,26.0,27.0
WV,0,0.4076415226381088,27.0,28.0
WV,0,0.4689902907332726,28.0,29.0
WV,0,0.5668678068546563,29.0,30.0
