id,event,climate_action_plan_21_sln,pc01,pc03,pc08,pc09,pc12,pc13,start,stop
AR,0,0.1666666666666666,0.5352763263218777,-0.39181453478593964,-1.439912443776719,-1.0228908246944464,-0.3504915994351732,0.44653741440591277,24.0,25.0
AR,0,0.1666666666666666,0.464735299177417,-0.3607801940812389,-1.381033803697646,-1.0202709474628762,-0.048887972780927935,0.6138935265436428,25.0,26.0
AR,0,0.1666666666666666,0.29470818647290825,-0.4425006490730585,-1.9484150706177727,-0.8423794010758042,0.40167874703843737,0.4074054055871452,26.0,27.0
AR,0,0.1666666666666666,0.3973743226817971,-0.30242078062576644,-1.6470571164034506,-0.9573708375344249,0.18383203903170284,0.36948530827194354,27.0,28.0
AR,1,0.1666666666666666,0.36128745874957396,-0.3177791816053273,-1.8193593845989622,-0.8445532216354747,0.30285952744443195,0.16732988977890856,28.0,29.0
AZ,0,0.0,1.0517173715504213,-0.85154820155469,2.2493328191758986,1.2115696254860306,-0.36373236223712413,1.1979177721239873,0.0,1.0
AZ,0,0.0,1.0830564853711446,-0.8825684758723383,2.3772245159446665,1.2728079213926633,-0.1302726631446898,1.1774291837735595,1.0,2.0
AZ,0,0.0,1.0899161363076444,-0.891156120341879,2.4158001306200707,1.2900065455144563,-0.06618043377242527,1.162976835504656,2.0,3.0
AZ,0,0.0,1.0342453342901545,-0.8187696108369221,2.1792198337896496,1.2009835064528271,-0.43954912365591436,1.5910070057401677,3.0,4.0
AZ,0,0.0,0.9706333217092478,-0.6570397862947277,2.098769714931391,1.1365674595278623,-0.21306178740692625,1.5708008025017828,4.0,5.0
AZ,0,0.0,0.9680468588643162,-0.6174940520773232,2.029213920977232,1.1440942811739505,-0.14875589196456002,1.670876069817261,5.0,6.0
AZ,0,0.0,0.8884084781989274,-0.5033677674141489,1.8044620457909328,1.0272910816697212,-0.42830613244258564,1.739178957517852,6.0,7.0
AZ,0,0.0,0.9044167501941334,-0.5060937522210337,1.809139616350963,1.0522548265927951,-0.4408182112676135,1.960960445248335,7.0,8.0
AZ,0,0.0,0.8933330699984419,-0.4409057037774174,1.708488446309742,1.0228351430578317,-0.5992026674517493,2.0996016329006664,8.0,9.0
AZ,0,0.0,0.9189265547498722,-0.41432755646374586,1.9602831105647434,1.1037799167470876,0.09450025363022516,1.7298527023082204,9.0,10.0
AZ,0,0.0,0.798209963539186,-0.2499795551411745,1.7309769217859243,0.9343136544834663,-0.07799989272754723,1.3092651250415817,10.0,11.0
AZ,0,0.0,0.6757908753292593,-0.03887547302057506,1.7422933212769247,0.8182102438512654,-0.17415576170859115,0.6326361533313546,11.0,12.0
AZ,0,0.0,0.7626741080893584,-0.1450654030255672,1.777328722821332,0.9506566422424235,-0.6560899170043897,1.9181388190542445,12.0,13.0
AZ,0,0.0,0.7506331952427282,-0.15520664541027349,1.8629075922166465,0.9966078325571103,-0.7466480644933454,2.2885001065018193,13.0,14.0
AZ,0,0.0,0.6945961415146141,-0.05912284881764432,1.7754611119200507,0.9489862183077595,-0.6444756413595023,2.2988178812382833,14.0,15.0
AZ,0,0.0,0.6081261621310636,0.09642475684999859,1.5598558087904728,0.857942871354432,-0.9448189489142564,2.0498282539347907,15.0,16.0
