id,event,fgd_21_slp,start,stop
ID,0,0.0766701912765439,19.0,20.0
ID,0,0.1450577518421134,20.0,21.0
ID,0,0.281816041714763,21.0,22.0
ID,0,0.3327697453772908,22.0,23.0
ID,0,0.3647470371952837,23.0,24.0
ID,0,0.3647470371952837,24.0,25.0
ID,0,0.3944869491649163,25.0,26.0
ID,0,0.4563551022232973,26.0,27.0
ID,0,0.466530890029568,27.0,41.0
IL,1,0.0,0.0,18.0
IN,0,0.0,0.0,19.0
IN,0,0.0420451817458532,19.0,20.0
IN,0,0.1654694168841029,20.0,21.0
IN,0,0.2847323954552517,21.0,22.0
IN,0,0.3080479435383909,22.0,23.0
IN,0,0.3451488339734396,23.0,24.0
IN,0,0.3451488339734396,24.0,25.0
IN,0,0.3550186281711818,25.0,26.0
IN,0,0.3708238452440155,26.0,27.0
IN,0,0.3711118547205778,27.0,41.0
KS,0,0.0,0.0,19.0
KS,0,0.1092924126191225,19.0,20.0
KS,0,0.1531912431522671,20.0,21.0
KS,0,0.3093358333491337,21.0,22.0
KS,0,0.4006464493954145,22.0,23.0
KS,0,0.4125149538925781,23.0,24.0
KS,0,0.4125149538925781,24.0,25.0
KS,0,0.4212542146137261,25.0,26.0
KS,0,0.4327374155742942,26.0,27.0
KS,0,0.4477193881732619,27.0,41.0
KY,0,0.0,0.0,19.0
KY,0,0.1779448980342445,19.0,20.0
KY,0,0.222476705314083,20.0,21.0
KY,0,0.473600748275727,21.0,22.0
KY,0,0.4841349666848913,22.0,23.0
KY,0,0.486970238838156,23.0,24.0
KY,0,0.486970238838156,24.0,25.0
KY,0,0.4976059468174413,25.0,26.0
KY,0,0.5459529437006628,26.0,27.0
KY,0,0.5594965103796359,27.0,41.0
LA,0,0.0,0.0,19.0
LA,0,0.0359946843733367,19.0,20.0
LA,0,0.0497677833686817,20.0,21.0
LA,0,0.2503135607573178,21.0,22.0
LA,0,0.3027927800397688,22.0,23.0
LA,0,0.3652608439559756,23.0,24.0
LA,0,0.3652608439559756,24.0,25.0
LA,0,0.3904500261538665,25.0,26.0
LA,0,0.3968804095446434,26.0,27.0
LA,0,0.4364940810859165,27.0,41.0
MA,1,0.0,0.0,18.0
MD,0,0.0,0.0,19.0
MD,1,0.1709287330895075,19.0,20.0
ME,1,0.0,0.0,18.0
MI,0,0.0,0.0,19.0
MI,0,0.0970850621116519,19.0,20.0
MI,1,0.1462678085453817,20.0,21.0
MN,0,0.0,0.0,19.0
MN,0,0.0579468761308984,19.0,20.0
MN,0,0.1459354571101346,20.0,21.0
MN,1,0.3138836080657132,21.0,22.0
MO,0,0.0,0.0,19.0
MO,0,0.1306554509242216,19.0,20.0
MO,0,0.1405579795328232,20.0,21.0
MO,0,0.378297741431038,21.0,22.0
MO,0,0.3996059859438067,22.0,23.0
MO,0,0.512645271863238,23.0,24.0
MO,0,0.512645271863238,24.0,25.0
MO,0,0.5524972706191639,25.0,26.0
MO,0,0.602989655146945,26.0,27.0
MO,0,0.6141559265924419,27.0,41.0
MS,0,0.0,0.0,19.0
MS,0,0.0599971668243993,19.0,20.0
MS,0,0.1008179778247509,20.0,21.0
MS,0,0.2905128356336142,21.0,22.0
MS,0,0.3203977687947633,22.0,23.0
MS,0,0.3841854420023495,23.0,24.0
MS,0,0.3841854420023495,24.0,25.0
MS,0,0.4045463113701279,25.0,26.0
MS,0,0.4540520043673954,26.0,27.0
MS,0,0.465657901122967,27.0,41.0
MT,0,0.0,0.0,19.0
MT,0,0.0826384408065403,19.0,20.0
MT,0,0.1584000254245071,20.0,21.0
MT,0,0.2842091093775014,21.0,22.0
MT,0,0.3669469984164766,22.0,23.0
MT,0,0.3853062255659775,23.0,24.0
MT,0,0.3853062255659775,24.0,25.0
MT,0,0.4139561063916576,25.0,26.0
MT,0,0.4203376309952583,26.0,27.0
MT,0,0.4754917908700871,27.0,41.0
NC,0,0.0,0.0,19.0
NC,0,0.0982047190448898,19.0,20.0
NC,0,0.1968651210717407,20.0,21.0
NC,0,0.339125610037176,21.0,22.0
NC,0,0.3453642989147135,22.0,23.0
NC,0,0.3752895446853108,23.0,24.0
NC,0,0.3752895446853108,24.0,25.0
NC,0,0.4579263275993075,25.0,26.0
NC,0,0.4738703789229634,26.0,27.0
NC,0,0.4841473773575578,27.0,41.0
ND,0,0.0,0.0,19.0
ND,0,0.0530470341253815,19.0,20.0
ND,0,0.1877665071361316,20.0,21.0
ND,0,0.257843159599067,21.0,22.0
ND,0,0.3013184596617393,22.0,23.0
ND,0,0.3417636833616436,23.0,24.0
ND,0,0.3417636833616436,24.0,25.0
ND,0,0.4002928292662104,25.0,26.0
ND,0,0.4629764899576408,26.0,27.0
ND,0,0.4700827963733258,27.0,41.0
NE,0,0.0,0.0,19.0
NE,0,0.1090305056591665,19.0,20.0
NE,0,0.1648231227249933,20.0,21.0
NE,0,0.297047049104556,21.0,22.0
NE,0,0.3283421301642428,22.0,23.0
NE,0,0.3641000978939506,23.0,24.0
NE,0,0.3641000978939506,24.0,25.0
NE,0,0.4034406852669621,25.0,26.0
NE,0,0.4232684371892136,26.0,27.0
NE,0,0.4396736735498446,27.0,41.0
NH,0,0.0,0.0,19.0
NH,0,0.0775144792744712,19.0,20.0
NH,0,0.1538697406591671,20.0,21.0
NH,0,0.3543159659416682,21.0,22.0
NH,0,0.3976830422962258,22.0,23.0
NH,0,0.4054496181216648,23.0,24.0
NH,0,0.4054496181216648,24.0,25.0
NH,0,0.4800497565292658,25.0,26.0
NH,0,0.5089661612636376,26.0,27.0
NH,1,0.5089661612636376,27.0,31.0
NJ,0,0.0,0.0,19.0
NJ,1,0.0835015762619418,19.0,20.0
NM,0,0.0,0.0,19.0
NM,0,0.0583256625778331,19.0,20.0
NM,0,0.1619877936419622,20.0,21.0
NM,0,0.2314471147746867,21.0,22.0
NM,0,0.2490105981719765,22.0,23.0
NM,0,0.2865534310177106,23.0,24.0
NM,0,0.2865534310177106,24.0,25.0
NM,0,0.316271750481835,25.0,26.0
NM,0,0.3492681076652377,26.0,27.0
NM,0,0.3774657574190099,27.0,41.0
NV,0,0.0,0.0,19.0
