id,event,community_solar_slp,start,stop
IA,0,0.09684074460206,32.0,33.0
IA,0,0.09684074460206,33.0,34.0
IA,0,0.1057010741939813,34.0,35.0
IA,0,0.1786983809699994,35.0,36.0
IA,0,0.1786983809699994,36.0,37.0
IA,0,0.2117613557485248,37.0,38.0
IA,0,0.3039205993889727,38.0,39.0
IA,0,0.4327904159986153,39.0,40.0
IA,0,0.4795043681179579,40.0,41.0
ID,0,0.0,0.0,30.0
ID,0,0.0514519413721419,30.0,31.0
ID,0,0.086982940062962,31.0,32.0
ID,0,0.1103616301937337,32.0,33.0
ID,0,0.1103616301937337,33.0,34.0
ID,0,0.1195813295910833,34.0,35.0
ID,0,0.1640912753047524,35.0,36.0
ID,0,0.1640912753047524,36.0,37.0
ID,0,0.2106761012135427,37.0,38.0
ID,0,0.2710577652107189,38.0,39.0
ID,0,0.3532166604465406,39.0,40.0
ID,0,0.4324622402880447,40.0,41.0
IL,0,0.0,0.0,30.0
IL,0,0.0135456874810331,30.0,31.0
IL,0,0.0168028077701509,31.0,32.0
IL,0,0.0676000650978542,32.0,33.0
IL,0,0.0676000650978542,33.0,34.0
IL,0,0.0816952791666207,34.0,35.0
IL,0,0.0908185453078375,35.0,36.0
IL,1,0.0908185453078375,36.0,37.0
IN,0,0.0,0.0,30.0
IN,0,0.0057361015479673,30.0,31.0
IN,0,0.028921804894486,31.0,32.0
IN,0,0.0382898586460074,32.0,33.0
IN,0,0.0382898586460074,33.0,34.0
IN,0,0.0607191267761429,34.0,35.0
IN,0,0.096759276685959,35.0,36.0
IN,0,0.096759276685959,36.0,37.0
IN,0,0.2003436418323239,37.0,38.0
IN,0,0.2269377894344315,38.0,39.0
IN,0,0.2520425981332511,39.0,40.0
IN,0,0.2558199759363123,40.0,41.0
KS,0,0.0,0.0,30.0
KS,0,0.0177173239561203,30.0,31.0
KS,0,0.1165843793455879,31.0,32.0
KS,0,0.1456735304629443,32.0,33.0
KS,0,0.1456735304629443,33.0,34.0
KS,0,0.1491664398209636,34.0,35.0
KS,0,0.1729425910091435,35.0,36.0
KS,0,0.1729425910091435,36.0,37.0
KS,0,0.2298326481336934,37.0,38.0
KS,0,0.2824345340187421,38.0,39.0
KS,0,0.343127614646494,39.0,40.0
KS,0,0.3438374887502107,40.0,41.0
KY,0,0.0,0.0,30.0
KY,0,0.0487670694797914,30.0,31.0
KY,0,0.0733684141734585,31.0,32.0
KY,0,0.1171392186085018,32.0,33.0
KY,0,0.1171392186085018,33.0,34.0
KY,0,0.122490990520176,34.0,35.0
KY,0,0.2300537877730743,35.0,36.0
KY,0,0.2300537877730743,36.0,37.0
KY,0,0.2930188925889099,37.0,38.0
KY,0,0.3837048361484826,38.0,39.0
KY,0,0.4190417473653758,39.0,40.0
KY,0,0.4651944350201821,40.0,41.0
LA,0,0.0,0.0,30.0
LA,0,0.0109593067640047,30.0,31.0
LA,0,0.0561161336020943,31.0,32.0
LA,0,0.0680687135973018,32.0,33.0
LA,0,0.0680687135973018,33.0,34.0
LA,0,0.0902232957374998,34.0,35.0
LA,0,0.139222836851705,35.0,36.0
LA,0,0.139222836851705,36.0,37.0
LA,0,0.1618752214793409,37.0,38.0
LA,0,0.1937628458849971,38.0,39.0
LA,0,0.2401012071040729,39.0,40.0
LA,0,0.2793765011340272,40.0,41.0
MA,1,0.0,0.0,29.0
MD,0,0.0,0.0,30.0
MD,0,0.0455238239407023,30.0,31.0
MD,0,0.0993621626730522,31.0,32.0
MD,0,0.1567423218347681,32.0,33.0
MD,0,0.1567423218347681,33.0,34.0
MD,0,0.2252465910921984,34.0,35.0
MD,1,0.2584465476881145,35.0,36.0
ME,1,0.0,0.0,30.0
MI,0,0.0,0.0,30.0
MI,0,0.0322028732099309,30.0,31.0
MI,0,0.065318485950332,31.0,32.0
MI,0,0.0825917075957424,32.0,33.0
MI,0,0.0825917075957424,33.0,34.0
MI,0,0.0867134783832111,34.0,35.0
MI,0,0.1210997523176921,35.0,36.0
MI,0,0.1210997523176921,36.0,37.0
MI,0,0.2841410880489213,37.0,38.0
MI,0,0.3489464873134333,38.0,39.0
MI,0,0.3708718166889928,39.0,40.0
MI,0,0.3790660694062264,40.0,41.0
MN,0,0.0,0.0,30.0
MN,0,0.0060594727745089,30.0,31.0
MN,0,0.0731184796333127,31.0,32.0
MN,0,0.0766710438849409,32.0,33.0
MN,1,0.0766710438849409,33.0,34.0
MO,0,0.0,0.0,30.0
MO,0,0.0276571974196581,30.0,31.0
MO,0,0.1033094891200782,31.0,32.0
