id,event,environment_ca_car_emission_slp,start,stop
MT,0,0.2882155437527472,30.0,40.0
MT,0,0.2889084991689421,40.0,41.0
NC,0,0.0404538856140539,0.0,26.0
NC,0,0.0963768843643292,26.0,27.0
NC,0,0.1859907607856585,27.0,28.0
NC,0,0.3085134396319545,28.0,29.0
NC,0,0.4399220347756848,29.0,30.0
NC,0,0.4437575084328715,30.0,40.0
NC,0,0.4844040375146336,40.0,41.0
ND,0,0.0408353521313371,0.0,26.0
ND,0,0.1311428791811136,26.0,27.0
ND,0,0.2518170937361732,27.0,28.0
ND,0,0.2934991361935307,28.0,29.0
ND,0,0.3571964980578434,29.0,30.0
ND,0,0.3688442909171486,30.0,40.0
ND,0,0.375420474338246,40.0,41.0
NE,0,0.0216270064154669,0.0,26.0
NE,0,0.0638825124082247,26.0,27.0
NE,0,0.2028306184539219,27.0,28.0
NE,0,0.2334438401981646,28.0,29.0
NE,0,0.314894740983102,29.0,30.0
NE,0,0.3341471885490481,30.0,40.0
NE,0,0.3433872242953172,40.0,41.0
NH,0,0.0059380865512534,0.0,26.0
NH,0,0.1157093202817955,26.0,27.0
NH,0,0.2060431007498368,27.0,28.0
NH,0,0.2460956545517833,28.0,29.0
NH,0,0.263371417665544,29.0,30.0
NH,0,0.2818530576993124,30.0,40.0
NH,0,0.3309529608164199,40.0,41.0
NJ,0,0.0,0.0,24.0
NJ,1,0.0417171536571992,24.0,25.0
NM,0,0.0173045129016886,0.0,26.0
NM,0,0.0318700617665104,26.0,27.0
NM,1,0.151309768462548,27.0,28.0
NV,0,0.0249085745476559,0.0,26.0
NV,0,0.0491703465049431,26.0,27.0
NV,0,0.2154527390307312,27.0,28.0
NV,0,0.2422292589610922,28.0,29.0
NV,0,0.2760398493359958,29.0,30.0
NV,0,0.3079825457680909,30.0,40.0
NV,0,0.3283062461084585,40.0,41.0
NY,1,0.002652502237163,0.0,26.0
OH,0,0.003316927060026,0.0,26.0
OH,0,0.027339426607524,26.0,27.0
OH,0,0.2416456433085553,27.0,28.0
OH,0,0.3120906014727327,28.0,29.0
OH,0,0.3568452865142685,29.0,30.0
OH,0,0.3833334533307639,30.0,40.0
OH,0,0.4297003083379839,40.0,41.0
OK,0,0.0067085152043684,0.0,26.0
OK,0,0.0923430290366029,26.0,27.0
OK,0,0.2003290645055348,27.0,28.0
OK,0,0.2863488632414805,28.0,29.0
OK,0,0.3057966839429874,29.0,30.0
OK,0,0.323402131130633,30.0,40.0
OK,0,0.3639767817925297,40.0,41.0
OR,0,0.0226746334447003,0.0,26.0
OR,1,0.0752555529919025,26.0,27.0
PA,0,0.0126467229648507,0.0,26.0
PA,1,0.0390107846109449,26.0,27.0
RI,1,0.0238550477402658,0.0,26.0
SC,0,0.0081170323584111,0.0,26.0
SC,0,0.0550872523148343,26.0,27.0
SC,0,0.1177652909174826,27.0,28.0
SC,0,0.1634264261274152,28.0,29.0
SC,0,0.2438820259527286,29.0,30.0
SC,0,0.2838339470014114,30.0,40.0
SC,0,0.3053885676795955,40.0,41.0
SD,0,0.0063259555014958,0.0,26.0
SD,0,0.0140320968652881,26.0,27.0
SD,0,0.1254558805546571,27.0,28.0
SD,0,0.1841158958470946,28.0,29.0
SD,0,0.2059927865198038,29.0,30.0
SD,0,0.2230008861517701,30.0,40.0
SD,0,0.2333882257473539,40.0,41.0
TN,0,0.0022983737974569,0.0,26.0
TN,0,0.0681446656130622,26.0,27.0
TN,0,0.2312383166368871,27.0,28.0
TN,0,0.3009417554597329,28.0,29.0
TN,0,0.3599192942485638,29.0,30.0
TN,0,0.4123926819414705,30.0,40.0
TN,0,0.438201106318509,40.0,41.0
TX,0,0.0393318767716797,0.0,26.0
TX,0,0.0495903048034663,26.0,27.0
TX,0,0.1975800425583673,27.0,28.0
TX,0,0.2430849038415629,28.0,29.0
TX,0,0.3357368223989775,29.0,30.0
TX,0,0.3360179910435906,30.0,40.0
TX,0,0.3378791088934541,40.0,41.0
UT,0,0.0028473487689688,0.0,26.0
UT,0,0.0269958350148055,26.0,27.0
UT,0,0.081333542246799,27.0,28.0
UT,0,0.1039350655685476,28.0,29.0
UT,0,0.1802624384571486,29.0,30.0
UT,0,0.2009416677728069,30.0,40.0
UT,0,0.2152100778159846,40.0,41.0
VA,0,0.001841893232571,0.0,26.0
VA,0,0.0301947567638824,26.0,27.0
VA,0,0.1503311599907908,27.0,28.0
VA,0,0.1819534329582076,28.0,29.0
VA,0,0.2138898104881726,29.0,30.0
VA,0,0.2179178687833156,30.0,40.0
VA,0,0.2380343881016287,40.0,41.0
VT,1,0.0259803729834644,0.0,26.0
WA,1,0.0052990974399624,0.0,26.0
WI,0,0.0039338285956355,0.0,26.0
WI,0,0.0579723063546767,26.0,27.0
WI,0,0.1304241927997665,27.0,28.0
WI,0,0.1873702583182632,28.0,29.0
WI,0,0.1978091626094949,29.0,30.0
WI,0,0.2150677051694574,30.0,40.0
WI,0,0.2218590252338655,40.0,41.0
WV,0,0.0223345294443949,0.0,26.0
WV,0,0.1380189787388804,26.0,27.0
WV,0,0.2018729900223583,27.0,28.0
WV,0,0.2479759737476925,28.0,29.0
WV,0,0.2906425152532924,29.0,30.0
WV,0,0.3398076251721064,30.0,40.0
WV,0,0.3487475543564473,40.0,41.0
WY,0,0.0273548018011218,0.0,26.0
WY,0,0.1098609617865753,26.0,27.0
WY,0,0.2312880068135123,27.0,28.0
WY,0,0.3360272683647586,28.0,29.0
WY,0,0.3681740093914045,29.0,30.0
WY,0,0.3860261344381008,30.0,40.0
WY,0,0.4153509974026876,40.0,41.0
